,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
109,Seriously how do we have a pandemic that is worse in Europe than in Asia and worse in the USA than in Europe and still people are saying the key variables are density and transit usage?,185,1273195526427680775,mattyglesias,Matthew Yglesias,"Washington, DC",,2020-06-17 10:07:22,Twitter for iPhone,1701,253,,,
110,".@AXA is investing in COVID-19 research, and in Israeli banks financing Israeli apartheid. Apartheid heightens Palestinians' COVID-19 risk.  Join Thomas from @BDS_switzerland in telling AXA to support human rights for all by divesting from apartheid: https://t.co/0t0p3mQ5yb https://t.co/DlpEjqvYNQ",298,1273193671366717440,BDSmovement,BDS movement,Global,,2020-06-17 10:00:00,Twitter Media Studio,80,61,,,
111,"This woman on the news just said, imagine if there was a medication that reduced your chances of getting COVID by 5x. Everyone would want that medication.  Well, that's wearing a mask.",184,1275808300119064577,JasmynBeKnowing,Jasmyn,LA ,,2020-06-24 15:09:36,Twitter Web App,316112,84493,,,
112,"Numbers are going in the wrong direction.   Yesterday marked the 3rd-highest number of new cases (34,720) reported in one day in the US since the pandemic began. (Higher 2 dates were in April) https://t.co/9o9Q5f8pfC",216,1275826656050122753,jaketapper,Jake Tapper,,,2020-06-24 16:22:33,Twitter for iPhone,2231,1238,,,
113,"The Trump admin. plans to end federal funding and support for coronavirus testing sites at the end of this month, @NBCNews has learned. https://t.co/6JPPHra2Xk",159,1275823820448976897,CNBCnow,CNBC Now,,,2020-06-24 16:11:17,Twitter Media Studio,15041,16041,,,
114,BREAKING: Trump is ending funding for 13 coronavirus testing sites in 5 states. This is an example of Trump slowing testing in broad daylight. It's criminal.,157,1275880504869486594,funder,Scott Dworkin,,,2020-06-24 19:56:31,Twitter Web App,74771,26977,,,
115,Yesterday the US hit a record high for new COVID cases.  WEAR A MASK.,69,1276129631586959365,NYGovCuomo,Andrew Cuomo,New York,,2020-06-25 12:26:28,Twitter Web App,126705,28742,,,
116,The coronavirus is at record numbers. It's raging out of control. Where the hell is the federal government? Where the hell is our national leadership? I cannot imagine this level of dereliction of duty in any other administration I have seen in my (long) lifetime.,264,1275926144085184512,DanRather,Dan Rather,"New York, NY",,2020-06-24 22:57:52,Twitter for iPhone,213221,53569,,,
117,How many Americans killed by COVID-19 would still be alive today if Trump hadn’t politicized wearing a mask?,108,1275896052810383361,NathanLerner,Nate Lerner,"Brooklyn, NY",,2020-06-24 20:58:18,Twitter for iPhone,103738,20699,,,
118,Breaking via WaPo: Dozens of Secret Service officers and agents on site for Trump's Tulsa rally have been ordered to self-quarantine after two of their colleagues tested positive for coronavirus⁠—part of the fallout from Trump's insistence on the event. https://t.co/m1lMO93XLB,277,1275940523082047489,kylegriffin1,Kyle Griffin,"Manhattan, NY",,2020-06-24 23:55:01,Twitter Web App,25210,12856,,,
119,"BREAKING: We just filed a complaint on Trump, the CDC, and HHS for intentionally preventing, slowing, delaying, hampering and obstructing testing for coronavirus in the US. We are asking the Inspector General of HHS to investigate immediately.",243,1275818602143322113,funder,Scott Dworkin,,,2020-06-24 15:50:32,Twitter for iPhone,48866,12731,,,
120,"New York, New Jersey and Connecticut issued a travel advisory that requires people arriving from states with high coronavirus rates to quarantine for 14 days https://t.co/vFR9i4LdiW",181,1275829104672223233,cnnbrk,CNN Breaking News,Everywhere,,2020-06-24 16:32:16,SocialFlow,2746,808,,,
121,TODAY: Trump is doing something about the pandemic.  Today he’s filing a brief in the Supreme Court to end the ACA &amp; take health care coverage away from 20 million people.,175,1276159092504104961,ASlavitt,Andy Slavitt @ 🏡,"Edina, MN",,2020-06-25 14:23:32,Twitter for iPad,45284,26088,,,
122,BREAKING: US hits single day high of reported Coronavirus cases.  Federal government silent.,92,1275907797096505344,ASlavitt,Andy Slavitt @ 🏡,"Edina, MN",,2020-06-24 21:44:58,Twitter for iPad,102124,33781,,,
123,"Amid America's #COVID19 disaster, I must come clean about a lie I spread as a health insurance exec: We spent big $$ to push the idea that Canada's single-payer system was awful &amp; the U.S. system much better. It was a lie &amp; the nations' COVID responses prove it. The truth: (1/6)",287,1276158510955401216,wendellpotter,Wendell Potter,"Philadelphia, PA",,2020-06-25 14:21:13,Twitter Web App,27308,17452,,,
124,COVID-19 has gone down due to the efforts of everyone but is still in general circulation.  If we do not follow social distancing guidance then cases will rise again. Naturally people will want to enjoy the sun but we need to do so in a way that is safe for all.,262,1276199449858015235,CMO_England,Professor Chris Whitty,London,,2020-06-25 17:03:54,Twitter Web App,35879,11705,,,
125,"Workers called back on the job deserve access to regular, reliable COVID-19 testing.",84,1275812425120444416,JoeBiden,Joe Biden,"Wilmington, DE",,2020-06-24 15:26:00,TweetDeck,86058,13606,,,
126,Cities with Black Lives Matter protests have not seen spikes in COVID-19 https://t.co/DX3AFrIrpO,96,1275801100470218752,BuzzFeedNews,BuzzFeed News,,,2020-06-24 14:41:00,TweetDeck,13320,7607,,,
127,"Trump calling COVID-19 the “Kung Flu” is stupid, racist and part of the reason he is losing this election in increasingly humiliating fashion. His material is no longer effective just self-degrading.",199,1275617759313965056,AndrewYang,Andrew Yang🧢🇺🇸,USA,,2020-06-24 02:32:28,Twitter for iPhone,152274,20992,,,
128,"Asian Americans now make up 11% of the electorate in NV, 5.5% in TX and 4.7% in GA. So go ahead @realDonaldTrump and keep saying racist stuff like Kung Flu. Also, you are making fun of a pandemic that’s killed over 120,000 Americans in four months. See you in November. https://t.co/V9iW6ASOqU",293,1275618584572522496,tedlieu,Ted Lieu,California,,2020-06-24 02:35:45,Twitter for iPhone,55163,12858,,,
129,"As per Patanjali's application, we issued them license. They didn't mention coronavirus, we only approved license for immunity booster, cough &amp; fever. We'll issue them a notice asking how they got permission to make the kit (for COVID19): Licence Officer, Uttarakhand Ayurved Dept https://t.co/I7CWKoJhbK",308,1275705563641454592,ANI,ANI,India,,2020-06-24 08:21:22,Twitter Web App,20469,5101,,,
130,Excited to announce I’m playing in eSoccer Aid on Saturday! 🎮⚽  @SoccerAid for @UNICEF_uk have teamed up with @EASPORTSFIFA to help stop impact of coronavirus on children’s lives   Info here 👉 https://t.co/MztTDSEyPY https://t.co/roht3jrung,240,1275763486333771778,LiamPayne,Liam,,,2020-06-24 12:11:32,Twitter for iPhone,54752,5834,,,
131,NEW: Overflowing hospitals. Widespread corruption. And a chloroquine-obsessed populist in charge.  The coronavirus pandemic's worst-case scenario is unfolding in Brazil. https://t.co/tIhJ6BtijF,193,1275791486269997056,BW,𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀𝘄𝗲𝗲𝗸,"New York, NY",,2020-06-24 14:02:48,SocialFlow,3304,2672,,,
132,"65,000 people have lost their lives to Covid-19.  The Prime Minister shouldn't reject challenge that could save lives.  #PMQs https://t.co/rLZCAH866Q",149,1275760088054149120,Keir_Starmer,Keir Starmer,London,,2020-06-24 11:58:02,Twitter Media Studio,16373,3798,,,
133,"PM can’t be allowed to get away with this  Fudging question of why *two thirds* of those with Covid-19 haven’t been contacted via test &amp; trace is so weak  So no, this is *not* “formidable achievement” - it’s a damning indictment on a scheme that’s far from “world beating” #PMQs",282,1275748781959647233,CarolineLucas,Caroline Lucas,Brighton,,2020-06-24 11:13:06,Twitter for iPhone,10744,3602,,,
134,"From the Times/Siena poll. I keep seeing claims that ""Americans"" don't have the patience to control the pandemic. No, *Republicans* — taking cues from their leaders — are demanding early opening. And they're in the minority 1/ https://t.co/mXim1fRBqy",250,1275757700782186497,paulkrugman,Paul Krugman,New York City,,2020-06-24 11:48:32,Twitter Web App,4425,1639,,,
135,Alarming spike in coronavirus sparks fears California is 'starting to lose this battle' https://t.co/d2xyyB8qG4,111,1275747502176833537,latimes,Los Angeles Times,"El Segundo, CA",,2020-06-24 11:08:01,Buffer,2033,1643,,,
136,"Apparently, if you eat “Tiddi” or Locust, it cures Coronavirus. If you don’t have Coronavirus, it improves immunity against Coronavirus.  Serious discussion in Pakistan Parliament. https://t.co/XYJsfURJc3",204,1275758871793958913,majorgauravarya,Major Gaurav Arya (Retd),India,,2020-06-24 11:53:12,Twitter for iPhone,14212,3627,,,
137,"I’m 35 &amp; in decent health. Having read widely on COVID, I’m not worried about dying from it. I am concerned of having long-term health issues that affect quality of life for months &amp; years. https://t.co/HekullGid5",221,1275764221305851904,devisridhar,Devi Sridhar,"Edin, Oxford, Wash DC, Miami",,2020-06-24 12:14:27,Twitter Web App,6111,2382,,,
138,JUST IN: Los Angeles County now leading the nation in coronavirus cases. https://t.co/8rHCmZ5JiY,96,1275785735887560708,ABC,ABC News,New York City / Worldwide,,2020-06-24 13:39:57,SocialFlow,5101,3640,,,
139,"Johnson walked into another Starmer trap by accusing him of using coronavirus misleading figures, the Labour leader pointing out they are from ""cough"" Government briefing slides #PMQs",183,1275747623295750145,Kevin_Maguire,Kevin Maguire,,,2020-06-24 11:08:30,Twitter Web App,10885,2258,,,
140,Inept PM responds to @Keir_Starmer accusing him of using #coronavirus misleading figures. Keir points out that they are from Governments own briefing slides! 😳 #PMQs,165,1275748845369073664,AngelaRayner,🌈 Angela Rayner 🌈,"Ashton-under-Lyne, England",,2020-06-24 11:13:21,Twitter for iPhone,14650,2701,,,
141,Media Ignores 90% Coronavirus Death Collapse In Country https://t.co/mXrsmtMg6P,79,1275615173039083521,IngrahamAngle,Laura Ingraham,DC,,2020-06-24 02:22:11,Twitter for iPhone,12143,5562,,,
142,"There is a sad irony that the same elected officials who refused to listen to science, who mocked public health, who minimized the coronavirus, are desperate for science to bail out their negligence (which has led to unnecessary death and suffering) with vaccines and treatments.",279,1275588440868839425,DanRather,Dan Rather,"New York, NY",,2020-06-24 00:35:58,Twitter Web App,65427,14556,,,
143,"However these rallies have played out for Trump, these are still the only indoor events in the country in months where thousands of people have congregated inside the same space. How do we explain that in terms of our responsibility as a country in the midst of a global pandemic? https://t.co/wqBo7Nc10M",304,1275617388562694144,MaddowBlog,Maddow Blog,New York City,,2020-06-24 02:30:59,Wildmoka,5486,1932,,,
144,Trump amping up his crowd in Phoenix by referring to the Coronavirus as “Kung Flu” again.,89,1275567808974188544,Acosta,Jim Acosta,"Washington, DC",,2020-06-23 23:13:59,Twitter for iPhone,38571,7604,,,
145,"Trump quotes MLK on not judging people by the color of their skin minutes after he uses the racist term ""Kung Flu"" to describe the coronavirus.",143,1275573112004677632,kylegriffin1,Kyle Griffin,"Manhattan, NY",,2020-06-23 23:35:03,Twitter Web App,10190,2926,,,
146,"COVID Update June 23: Trump sees nothing but good news in the Coronavirus.  Unlike other world leaders with better health &amp; economic results who aim to limit death &amp; economic loss with masks &amp; other containment, Trump’s approach is a mix of lying, denial &amp; spin. 1/",281,1275610591462395907,ASlavitt,Andy Slavitt @ 🏡,"Edina, MN",,2020-06-24 02:03:59,Twitter for iPhone,5584,1927,,,
147,"Looks like Engel, who was famously absent from own district as the COVID crisis unfolded, won't be compelled to visit at all going forward. 😋  So excited my mom got a chance to vote for Bowman today . https://t.co/2csYJDHOXz",224,1275612509521743873,briebriejoy,Briahna Joy Gray,"Manhattan, NY",,2020-06-24 02:11:36,Twitter Web App,12432,1163,,,
148,President @realDonaldTrump just pointed out in his Phoenix speech that he sent the UNSN Comfort hospital ship and @NYGovCuomo could have put senior citizens infected with COVID on the ship instead of nursing homes...instead Cuomo murdered senior citizens https://t.co/8rfsa5vSto,278,1275594604751081473,T_S_P_O_O_K_Y,Tony Shaffer,Earth..mostly...,,2020-06-24 01:00:27,Twitter Web App,1082,744,,,
149,"We cannot let COVID-19 spread like it is right now in Washington.  So today, we’re mandating facial coverings statewide. https://t.co/CL8MWDvKoo",144,1275568470663368704,GovInslee,Governor Jay Inslee,"Olympia, WA",,2020-06-23 23:16:36,Twitter for iPhone,16134,4456,,,
150,Rebekah Jones was fired last month from her job at the Florida Department of Health - where she helped create a data portal about the state's COVID-19 cases - after she was asked to manipulate data.   This is ... not good. #flapol https://t.co/QbI7JEg994,254,1275587105322708992,shannonrwatts,Shannon Watts,"NRA’s head, rent free",,2020-06-24 00:30:39,Twitter Web App,3205,1730,,,
151,"Loans worth Rs 75,426.39 crore to 17.02 lakh applicants already sanctioned till 18 June 2020 under the 100% Emergency Credit Line Guarantee Scheme of #AatmaNirbharBharatAbhiyan.  The magnitude of such liquidity support to MSMEs in face of the COVID pandemic is unprecedented. https://t.co/geyz5qGL9B",299,1275617734563262464,BJP4India,BJP,"6-A, Deen Dayal Upadhyay Marg,",,2020-06-24 02:32:22,Twitter Web App,1769,392,,,
152,"What a coincidence that the US has handled COVID-19 worse than just about any government in the world, and has a President who doesn't know why it's called COVID-19. https://t.co/ZFCCRThNHY",189,1275585531867365377,brhodes,Ben Rhodes,"Washington, DC",,2020-06-24 00:24:24,Twitter Web App,8667,2236,,,
153,Former defense secretary and retired Marine general Jim Mattis has appeared in a pandemic public service announcement urging listeners in his hometown to wear face coverings to help prevent coronavirus. https://t.co/IO6N4ZHdFN,226,1275613363511291905,starsandstripes,Stars and Stripes,Washington D.C.,,2020-06-24 02:15:00,TweetDeck,2552,688,,,
154,"Universal masking is the most obvious and least intrusive intervention that states with large epidemics can now reach for. But it won’t be enough at this stage. FL, TX, AZ, CA may all have to consider limiting elective surgeries to once again free up hospital capacity for Covid. https://t.co/TUlB909nsy",303,1275597696510971905,ScottGottliebMD,"Scott Gottlieb, MD","Washington, DC",,2020-06-24 01:12:44,Twitter for iPhone,3796,1479,,,
155,"Spoke with @jaketapper about what feels increasingly like the federal government giving up on the pandemic  We may be done with the pandemic  But the pandemic is not done with us  We know how to get our arms around this  But if we choose not to act, our future looks pretty tough https://t.co/sWlk2mwn8g",303,1275587877280325634,ashishkjha,Ashish K. Jha,"Cambridge, MA",,2020-06-24 00:33:43,Twitter Web App,2369,830,,,
156,"BREAKING: The Missouri Supreme Court ruled that our lawsuit to make sure all eligible voters are able to vote by mail without a notary during COVID-19 can continue.  Missouri, we'll see you in court. https://t.co/YeSaaVnGGx",223,1275564367761870856,ACLU,ACLU,All 50 states,,2020-06-23 23:00:18,Twitter Web App,10095,2163,,,
157,"Our policy editor Lewis Goodall has sobering news on deaths in this pandemic, particularly in the UK’s care home sector, where excess deaths have increased by 93% during this time and 13.6% of residents died.  @lewis_goodall | #Newsnight https://t.co/SajUq5N1ou",261,1275552829831340032,BBCNewsnight,BBC Newsnight,"London, UK",,2020-06-23 22:14:27,Twitter Media Studio - LiveCut,2057,1665,,,
158,"On the WORST day of the pandemic in #Arizona with 58,179 cases and single-day records of ⚠️3,593 new cases and ⚠️42 new deaths, these unmasked #Trump supporters at Dream City Church, Phoenix Arizona are breathing #COVID in and out.   https://t.co/EI1Oy4gUiZ",257,1275549702721683456,Cleavon_MD,"Cleavon Gilman, MD🌵",Arizona,,2020-06-23 22:02:02,Twitter Web App,6469,3680,,,
159,"FLASH: TEXAS posts new COVID spike — record *5,489* new cases, record *4,092* patients in hospital beds",103,1275536056314626048,StevenTDennis,Steven Dennis,"Washington, DC",,2020-06-23 21:07:48,Twitter Web App,4183,2699,,,
160,Janice Dean: New York Governor Andrew Cuomo Needs To Be Investigated For Sending Recovering Covid Patients Into Nursing Homes  https://t.co/1TgOr5Fwv7,150,1275552012210515968,JaniceDean,Janice Dean,NYC!,,2020-06-23 22:11:12,Twitter for iPhone,12002,4415,,,
161,"This is Trump speaking right now in Arizona, where coronavirus cases are spiking. Hospitals are overrun. The 3,591 new cases reported Tuesday marks the highest one-day total yet. https://t.co/XEFA7PHDCo",202,1275565397215981575,EliStokols,Eli Stokols,"Washington, DC",,2020-06-23 23:04:24,TweetDeck,1509,715,,,
162,"I am amazed that there isn't a universal public consensus in the United States that is voiced routinely by elected officials of both parties on major media that the words, actions, and inaction of Donald Trump during this pandemic have literally killed tens of thousands of people",280,1275565712615116801,SethAbramson,Seth Abramson,All views are my own.,,2020-06-23 23:05:39,Twitter for Android,5875,1843,,,
163,Stop letting the media distort the facts surrounding coronavirus.  The statistics being presented are meant to inspire fear &amp; paranoia.  @realDonaldTrump is doing a great job!  Make sure you RT this video for all to see so they can understand the TRUTH! https://t.co/RDVH7AeNI9,281,1275546354845089802,drdavidsamadi,Dr. David Samadi,"Manhattan, New York",,2020-06-23 21:48:44,Twitter for iPhone,5128,4425,,,
164,Trump says hiding the truth about Coronavirus will make it go away. Kayleigh says he’s just kidding. Trump says no way. I was dead serious. Emphasis on the “dead.”,163,1275524215496740871,tribelaw,Laurence Tribe,,,2020-06-23 20:20:45,Twitter for iPhone,11943,2886,,,
165,"For Republicans who want to constantly bring up the flu: According to new CDC data, the US influenza death rate is .1%, while the Covid-19 death rate is 5.2%. This means that the average death rate for Covid is almost 50 times higher than that of the flu.",255,1275532561926647808,chelseahandler,Chelsea Handler,"Los Angeles, CA",,2020-06-23 20:53:55,Twitter for iPhone,13684,3825,,,
166,"""In the last 14 days, Oregon has reported a 234% jump in infections, Oklahoma jumped by 202%, Florida's number increased by 155%, and Arizona's confirmed coronavirus cases climbed by 142%"" https://t.co/eucS7BZ3L5",212,1275499985132544002,maddow,Rachel Maddow MSNBC,"New York, NY USA",,2020-06-23 18:44:28,Twitter Web App,10781,6652,,,
167,Meatpacking companies used the COVID-19 pandemic – and the threat of shortages – as cover to jack up prices &amp; endanger workers while they exported record amounts of pork &amp; other meat products abroad. @SenBooker &amp; I are opening an investigation. https://t.co/WhYPe3ZfVc,280,1275526721052295168,SenWarren,Elizabeth Warren,,,2020-06-23 20:30:43,Twitter Web App,10760,3928,,,
168,"A blockbuster new study finds that overall, the federal coronavirus relief package has failed to rescue the businesses and jobs getting hit hardest by the pandemic.  It also found that state-permitted reopenings don't seem to boost the economy. https://t.co/y3b7at0UaJ",268,1275542445313396736,NPR,NPR,,,2020-06-23 21:33:12,SocialFlow,1052,642,,,
169,New York State is one of only 3 states that are on track to contain #COVID.  I can't stress enough how important it is that we don't blow this incredible progress now.  Wear a mask. Get tested. Be smart.  (Study by @CovidActNow) https://t.co/mzSVB0MwQd https://t.co/aKjfZH7UhZ,276,1275499242459738113,NYGovCuomo,Andrew Cuomo,New York,,2020-06-23 18:41:31,Twitter Web App,30812,6862,,,
170,"Breaking news out of Miami-Dade Co., FL — a major hospital now at capacity amid the big #COVID__19 spike in Florida https://t.co/mn0JFPZfxl",139,1275542258314620928,JesseRodriguez,Jesse Rodriguez,"New York, NY",,2020-06-23 21:32:27,Twitter for iPhone,1334,1244,,,
171,"Breaking News: The EU is prepared to bar American travelers when it reopens its borders on July 1 because the U.S. government has not controlled the coronavirus, according to draft lists that would also bar visitors from Brazil and Russia. https://t.co/UOIRziUH0c",263,1275486316432625665,nytimes,The New York Times,New York City,,2020-06-23 17:50:09,SocialFlow,26831,11552,,,
172,"Your Kentucky Election Day reminder that Mitch McConnell thinks states bearing the brunt of this pandemic should file for bankruptcy, but multibillion-dollar corporations deserve a $500,000,000,000 bailout.",206,1275497588175695875,RBReich,Robert Reich,"Berkeley, CA",,2020-06-23 18:34:57,Twitter Web App,9545,4246,,,
173,"The admin's stated reason that Barr can't testify before the House is that officials need to focus on fighting the pandemic, which is odd since the official actually in charge of fighting the pandemic, Dr. Fauci, is testifying before the House right now.",254,1275457598360129537,matthewamiller,Matthew Miller,"Washington, DC",,2020-06-23 15:56:02,Twitter Web App,71883,21051,,,
174,"BREAKING: Rep Welch asked Trump's medical chiefs to raise their hands if they agree with Trump's statements about coronavirus being like the flu, it going away, under control. Over and over again, no hands were raised. Trump's own people. No hands raised. #TrumpSlowsTestingWeDie",279,1275495774961442816,funder,Scott Dworkin,,,2020-06-23 18:27:44,Twitter Web App,12732,4474,,,
175,"Because of MAIL-IN BALLOTS, 2020 will be the most RIGGED Election in our nations history - unless this stupidity is ended. We voted during World War One &amp; World War Two with no problem, but now they are using Covid in order to cheat by using Mail-Ins!",255,1275062328971497472,realDonaldTrump,Donald J. Trump,"Washington, DC",,2020-06-22 13:45:23,Twitter for iPhone,167144,45524,,,
176,Want to practice your First and Second Amendment rights during the pandemic?  Too bad.  Want to riot in the streets during the pandemic?  No problem! https://t.co/nIu8fngUcg,173,1275489267935035394,Jim_Jordan,Rep. Jim Jordan,"Washington, D.C. ",,2020-06-23 18:01:53,Twitter for iPhone,14112,5582,,,
177,"Trump contradicts his own aides and says he was not kidding when he said he asked for a slowdown in coronavirus testing: “I don’t kid, let me just tell you.”",157,1275435545003388930,Acosta,Jim Acosta,"Washington, DC",,2020-06-23 14:28:25,Twitter for iPhone,52661,13444,,,
178,"It's worth repeating that this weekend, President Trump admitted he directed his administration to slow down coronavirus testing in the middle of a global pandemic.  He continues to prove just how unfit he is to lead our nation.",228,1275233359615180800,JoeBiden,Joe Biden,"Wilmington, DE",,2020-06-23 01:05:00,TweetDeck,155612,31945,,,
179,"If you think wearing a mask “cuts off your oxygen"", just wait until you find out what COVID does.",97,1273690255477149696,EM_RESUS,"Sam Ghali, M.D.",USA,,2020-06-18 18:53:15,Twitter for iPhone,218489,62656,,,
180,"Again, 120,000 Americans are dead from COVID-19 and the president ordered testing to be slowed down because big numbers would hurt him politically.   There aren't words for this level of betrayal. https://t.co/v2fvnqdmcU",220,1275444009402429442,HillaryClinton,Hillary Clinton,"New York, NY",,2020-06-23 15:02:03,Twitter Web App,44469,11401,,,
181,"We did a great job on CoronaVirus, including the very early ban on China, Ventilator production, and Testing, which is by far the most, and best, in the World. We saved millions of U.S. lives.! Yet the Fake News refuses to acknowledge this in a positive way. But they do give....",279,1275438921552257026,realDonaldTrump,Donald J. Trump,"Washington, DC",,2020-06-23 14:41:50,Twitter for iPhone,121103,25088,,,
182,"The E.U. is prepared to bar American travelers when it reopens borders July 1 because the U.S. has not controlled the coronavirus, according to draft lists. https://t.co/Q9wIoZBnSx",180,1275483775061749760,kylegriffin1,Kyle Griffin,"Manhattan, NY",,2020-06-23 17:40:03,Twitter for iPhone,23196,8631,,,
183,Actually you just got ROCKED by teens on TikTok who flooded the Trump campaign w/ fake ticket reservations &amp; tricked you into believing a million people wanted your white supremacist open mic enough to pack an arena during COVID  Shout out to Zoomers. Y’all make me so proud. ☺️ https://t.co/jGrp5bSZ9T,306,1274499021625794565,AOC,Alexandria Ocasio-Cortez,"Bronx + Queens, NYC",,2020-06-21 00:27:00,Twitter for iPhone,613995,115752,,,
184,"Dear Kejriwal ji,   It has already been decided in our meeting 3 days back and MHA has assigned the work of operating the 10,000 bed COVID Care Centre at Radha Swami Beas in Delhi to ITBP. The work is in full swing and a large part of the facility will be operational by 26th Jun. https://t.co/VLMOQdEseY",304,1275416392775290880,AmitShah,Amit Shah,,,2020-06-23 13:12:18,Twitter for iPhone,44892,11270,,,
185,"The White House has taken down the tents where people who were entering used to have to be tested for Covid symptoms. The strategy is clear: Pretend the pandemic is gone, and our Covid crisis will be over. Truth be damned. It’s idiotic and suicidal.",249,1275375747713073153,tribelaw,Laurence Tribe,,,2020-06-23 10:30:48,Twitter for iPhone,48206,13890,,,
186,The left is really panicked about the economy coming back. Ruins their narrative.  Expect more calls to shutdown states again citing supposed COVID concerns. No tax dollars to states that refuse to open.,203,1273300111930437632,IngrahamAngle,Laura Ingraham,DC,,2020-06-17 17:02:58,Twitter for iPhone,56812,17226,,,
187,"Just because some people and news outlets have moved on from coronavirus doesn’t mean the virus is gone. We are still in the midst of a deadly pandemic that has claimed more than 116,000 American lives.   Wear a mask.",217,1273419911658909697,KamalaHarris,Kamala Harris,California,,2020-06-18 00:59:00,Sprout Social,65383,14045,,,
188,it’s weird watching people just decide the pandemic is over,59,1273604066912894979,chescaleigh,Franchesca Ramsey,New York City,,2020-06-18 13:10:46,Twitter for iPhone,336530,64820,,,
189,BREAKING: Trump just lied on Hannity saying coronavirus doesn’t effect young people. It’s an impeachable lie.,109,1273435373507657734,funder,Scott Dworkin,,,2020-06-18 02:00:26,Twitter for iPhone,68652,14274,,,
190,"Vice President Pence claimed success because COVID-19 deaths are “down to” fewer than 750 a day.  That's more than 20,000 a month — and they're self-congratulating? Unbelievable.  It may be good enough for President Trump, but it will never be acceptable if I am President. https://t.co/9h08nxjC6k",297,1273416386841214976,JoeBiden,Joe Biden,"Wilmington, DE",,2020-06-18 00:45:00,Twitter Media Studio,39345,10312,,,
191,"The governor has informed local officials that if citizens are required to wear masks in public buildings, their governments will not receive any of the $100 million in federal coronavirus aid money. https://t.co/jKi68KbIni",223,1273590559077216257,OWHnews,Omaha World-Herald,"Omaha, Nebraska",,2020-06-18 12:17:06,SocialNewsDesk,4066,4759,,,
192,"If 80% of Americans Wore Masks, COVID-19 Infections Would Plummet, New Study Says https://t.co/4oDvKO9oyq via @VanityFair",121,1273274880172187649,jaketapper,Jake Tapper,,,2020-06-17 15:22:42,Twitter for iPhone,25828,11169,,,
193,UPDATED INFO | Gov. Ron DeSantis said 260 workers at the Orlando International Airport have tested positive for the coronavirus after nearly 500 employees were tested. https://t.co/tfiAN6MRtx,191,1273249034581532672,news6wkmg,News 6 WKMG,"Orlando, FL",,2020-06-17 13:40:00,SocialNewsDesk,6116,5577,,,
194,Arizona sheriff who refused to enforce lockdown now has COVID-19   https://t.co/txezR5Vvlp,90,1273434129338707969,thedailybeast,The Daily Beast,"New York, NY",,2020-06-18 01:55:30,SocialFlow,31063,10439,,,
195,"The sheriff of Pinal County, Arizona has announced that he tested positive for coronavirus, a day after visiting the White House. https://t.co/AvjkDAkHoA",153,1273448139232440320,kylegriffin1,Kyle Griffin,"Manhattan, NY",,2020-06-18 02:51:10,Twitter Web App,34297,11558,,,
196,"Bolton’s book revealing a fumbling, bumbling, angry, corrupt, racist, vengeful, and ignorant President .. a President with a personality poised to botch a coming pandemic, much of which could have been mitigated by listening to simple science-My question-Why did he wait to share?",280,1273365169243148290,morningmika,Mika Brzezinski,"New York, New York",,2020-06-17 21:21:28,Twitter for iPad,46686,9547,,,
197,"If I wear a mask I lower my chances of getting, or giving, COVID.  If you wear a mask, you lower your chances of getting, or giving, COVID.  If we both wear masks. Neither of us is getting, or giving, COVID.  You know. Rocket science.",234,1273620137019535361,ZacksJerryRig,JerryRigEverything,,,2020-06-18 14:14:38,Twitter for Android,52945,10428,,,
198,"All the Depression  experts yesterday, who were the Covid experts day before, are today Defence and Warfare experts 🙏 #humanityrip",130,1273273896410603522,SonuSood,sonu sood,"Mumbai, India",,2020-06-17 15:18:47,Twitter for iPhone,75546,9583,,,
199,"Just thinking about the nurses wearing garbage bags, and using the same masks over &amp; over in NY during the worst of the pandemic, or public school teachers being disparaged &amp; denigrated in public discourse &amp; having to buy their own supplies, and still showing up to do their jobs. https://t.co/RdXrgAG4uK",316,1273429387308826624,Sifill_LDF,Sherrilyn Ifill,,,2020-06-18 01:36:39,Twitter Web App,31646,12398,,,
200,"So let me get this straight: We can't find the money to extend unemployment benefits during a pandemic, but we spend $115,000,000,000 a year on police?",151,1273368199883440135,RBReich,Robert Reich,"Berkeley, CA",,2020-06-17 21:33:31,Twitter Web App,25792,9373,,,
201,"The media has amplified the voices of fear and panic. They are using COVID-19 to push other agendas.  Please retweet this and follow my account as I am spreading facts and science. We need to amplify it   Together we can get back to normal.  And I mean normal, not a “new normal”.",280,1273197740500140032,drdavidsamadi,Dr. David Samadi,"Manhattan, New York",,2020-06-17 10:16:10,Twitter for iPhone,8848,6347,,,
202,"""She will never see her daughter grow""  Nurse Mary Agyapong was heavily pregnant when she died with coronavirus, doctors managed to save her baby  Her husband says she shouldn't have been working at the hospital during the pandemic https://t.co/v4UVdYJM2x https://t.co/aJmz22xxjT",279,1273218928207159299,BBCNews,BBC News (UK),London,,2020-06-17 11:40:22,SocialFlow,3515,1878,,,
203,Trump’s coronavirus coverup is the biggest scandal in American history.,71,1273217468534833153,funder,Scott Dworkin,,,2020-06-17 11:34:34,Twitter for iPhone,32623,7110,,,
